asset,klasse,regel,parameter,richtung,t_entdeckung,alpha_pa_entdeckung,t_bestaetigung,alpha_pa_bestaetigung,p_entdeckung,stufe1,p_bestaetigung,bestanden
EFA,ETF,sma_trend,50,long,0.347,0.00944,1.18,0.03358,0.3642956593856741,False,0.11900010745520073,False
EFA,ETF,sma_trend,50,long/short,0.347,0.01888,1.08,0.06127,0.3642956593856741,False,0.14007109008876906,False
EFA,ETF,sma_trend,100,long,0.845,0.02308,1.411,0.03906,0.1990554195216424,False,0.07912230701015299,False
EFA,ETF,sma_trend,100,long/short,0.845,0.04616,1.259,0.06949,0.1990554195216424,False,0.10401516593601134,False
EFA,ETF,sma_trend,200,long,0.232,0.0064,1.824,0.05113,0.4082690069009698,False,0.03407603611951626,False
EFA,ETF,sma_trend,200,long/short,0.232,0.01279,1.691,0.09427,0.4082690069009698,False,0.04541840132578667,False
EFA,ETF,sma_cross,"(5, 20)",long,0.19,0.00522,0.228,0.00666,0.4246545652652045,False,0.4098231202609659,False
EFA,ETF,sma_cross,"(5, 20)",long/short,0.19,0.01044,0.064,0.00371,0.4246545652652045,False,0.4744851134046951,False
EFA,ETF,sma_cross,"(10, 50)",long,0.386,0.01051,0.609,0.01751,0.3497483344025484,False,0.27126221944899065,False
EFA,ETF,sma_cross,"(10, 50)",long/short,0.386,0.02101,0.508,0.02913,0.3497483344025484,False,0.30572667160651423,False
EFA,ETF,sma_cross,"(20, 100)",long,0.91,0.02533,1.605,0.04547,0.1814112548917972,False,0.05424690233591045,False
EFA,ETF,sma_cross,"(20, 100)",long/short,0.91,0.05066,1.458,0.08232,0.1814112548917972,False,0.0724202715079707,False
EFA,ETF,sma_cross,"(50, 200)",long,-0.543,-0.01498,0.946,0.02761,0.7064350987833686,False,0.17207429311356293,False
EFA,ETF,sma_cross,"(50, 200)",long/short,-0.543,-0.02995,0.817,0.04724,0.7064350987833686,False,0.20696421402340592,False
EFA,ETF,tsmom,20,long,0.442,0.01205,1.382,0.03965,0.3292446029635332,False,0.08348585055296431,False
EFA,ETF,tsmom,20,long/short,0.442,0.0241,1.211,0.06932,0.3292446029635332,False,0.112947702349802,False
EFA,ETF,tsmom,60,long,0.767,0.0211,0.946,0.02679,0.22154075776325488,False,0.17207429311356293,False
